type,osm_id,name,amenity,latitude,longitude
way,415872360,Trinity Memorial Missionary Baptist Church,place_of_worship,42.3892175,-82.9909867
way,415873656,New Welcome Missionary Baptist Church,place_of_worship,42.3873034,-82.9927614
way,415875275,Sardis Missionary Baptist Church,place_of_worship,42.3839646,-82.9932356
way,415878702,Nativity of Our Lord Church,place_of_worship,42.388399,-83.0050303
way,416205144,New Mount Carmel Tabernacle Church of God in Christ,place_of_worship,42.3925915,-83.0047808
way,416205161,Jesus Christ is Our Lord Church,place_of_worship,42.3930297,-83.0042112
way,416711942,Greater New Hope Baptist Church of Detroit,place_of_worship,42.3810836,-83.0159058
way,416748805,Gratiot Avenue Presbyterian Church,place_of_worship,42.384534,-83.0114746
way,416766984,Tree of Life Metropolitan Baptist Church,place_of_worship,42.3898266,-83.0086723
way,416769832,New Mount Zion Church of God in Christ,place_of_worship,42.3867932,-83.0240115
way,416771213,New Galilee Spirtual Church,place_of_worship,42.3884039,-83.0210576
way,417062996,True Light Temple,place_of_worship,42.3907761,-83.0136308
way,417063118,Second Mount Carmel Missionary Baptist Church,place_of_worship,42.3896154,-83.016539
way,417957796,Safe Hope Church of God in Christ,place_of_worship,42.3664885,-82.958201
way,422691496,2nd Mount Zion of the Apostolic Faith Church,place_of_worship,42.3760848,-83.0656499
way,422696410,Nazarene Baptist Church,place_of_worship,42.3800595,-83.0684128
way,422696449,The Pentecostal Church of God,place_of_worship,42.389241,-83.0707155
way,422696464,St John Evangelist Temple Of Truth And School Of Wisdom,place_of_worship,42.3876751,-83.0735504
way,422696500,Church of Christ,place_of_worship,42.3781233,-83.0650463
way,422696503,Cathedral of Hope Ministries,place_of_worship,42.3871142,-83.0704418
way,422696535,Abundant Life Faith Temple,place_of_worship,42.388092,-83.0710477
way,422696593,Full Gospel Tabernacle Church of God in Christ,place_of_worship,42.3851591,-83.0717619
way,422826546,Washington-Parks Academy,school,42.3729423,-83.2728386
way,424169937,Greater Ephesian Baptist Church,place_of_worship,42.3877109,-83.0740967
way,424169961,Greater New Mount Moriah Baptist Church,place_of_worship,42.3853376,-83.0739861
way,424191415,Original Primitive Baptist Church,place_of_worship,42.3734518,-82.9410754
way,424191416,Saint John's Congregational Church,place_of_worship,42.3782107,-82.9485709
way,424199394,Abundant Faith Cathedral,place_of_worship,42.3796972,-82.9444078
way,424376865,Saint Hilary's School (closed),school,42.3678408,-83.273328
way,431799771,Southwest Counseling Solutions Waterman Outpatient Clinic,clinic,42.3123534,-83.1133243
way,432046186,Solvay Church of God in Christ,place_of_worship,42.2940244,-83.1151321
way,432046187,New Greater Love Missionary Baptist Church,place_of_worship,42.2930299,-83.116582
way,433598830,,clinic,42.3729783,-83.0718801
way,433598831,,clinic,42.3731063,-83.0722045
way,434376946,Jehova-Jireh Full Gospel Church,place_of_worship,42.2929597,-83.1227317
way,434811963,True Light Church of God In Christ,place_of_worship,42.2933909,-83.1189334
way,434811967,Holy Cross Catholic Church,place_of_worship,42.2937392,-83.1192791
way,434932517,Trinity-Saint Mark's United Church of Christ,place_of_worship,42.2956375,-83.1300694
way,435246995,Sweet Communion Church,place_of_worship,42.2929997,-83.1189561
way,436803246,The House of God,place_of_worship,42.292633,-83.1156962
way,436928192,Jordan Missionary Baptist Church,place_of_worship,42.3691977,-82.9451916
way,436933000,Precious Faith Church of God in Christ,place_of_worship,42.3778778,-82.962476
way,437061925,Kainos International Church,place_of_worship,42.3049306,-83.1083817
way,437116919,First Missionary Baptist Church,place_of_worship,42.2956162,-83.1113831
way,437565235,École élémentaire catholique Monseigneur Jean Noël,school,42.2595473,-83.035419
way,437565558,Corpus Christi Catholic Church,place_of_worship,42.2550855,-83.0198436
way,438022625,Saint Paul AME Church,place_of_worship,42.3846176,-82.9451563
way,438025993,First Christian Reformed Church,place_of_worship,42.3864744,-82.9442609
way,438349690,El Buen Pastor United Methodist Church,place_of_worship,42.3094909,-83.1115422
way,439869301,Centre for the Arts - St. Clair College,school,42.3188331,-83.0422026
way,440008824,,school,42.4391919,-83.2702159
way,440008833,Detroit Service Learning Academy,school,42.4283694,-83.2564899
way,440008836,Madison-Carver Academy,school,42.4375692,-83.2627041
way,440894210,Universal Hagar's Spritual Church Assocation National Headquarters,place_of_worship,42.2885298,-83.1493723
way,440927947,Bethania Romanian Pentecostal Church,place_of_worship,42.3074214,-82.9695158
way,440927955,St. Michael's Byzantine Catholic Church,place_of_worship,42.301793,-82.9960881
way,441544377,Southwestern Church of God,place_of_worship,42.2671593,-83.1635979
way,442364924,St. Gabriel Catholic Church,place_of_worship,42.3111478,-83.1288924
way,442364927,Clinica Medica Familiar,clinic,42.3113389,-83.1281099
way,442364929,,doctors,42.3114106,-83.1278677
way,442629444,Greater Deliverance Temple of Apostolic Faith Church,place_of_worship,42.4233131,-83.1023714
way,442638103,Pentecostal House of God,place_of_worship,42.4233011,-83.0973297
way,442708090,Spiritual Light Community Church,place_of_worship,42.296441,-83.1309663
way,442872860,Harms Elementary School,school,42.3143917,-83.1247577
way,442872871,House of Truth,place_of_worship,42.315581,-83.1269003
way,442974920,Family of God,place_of_worship,42.3122861,-83.1236469
way,442974944,Phoenix Academy,school,42.3075819,-83.1221712
way,442983034,Kingdom Hall of Jehovah's Witnesses,place_of_worship,42.3078311,-83.1242832
way,442983035,Palabra de Vida Paul the Apostle,place_of_worship,42.3077703,-83.1249965
way,442983063,Springwells Medical Clinic,clinic,42.3103086,-83.1267381
way,442983064,Springwells Baptist Church,place_of_worship,42.3105018,-83.1269339
way,442984867,St. Stephen Lutheran Church,place_of_worship,42.3015217,-83.1279055
way,443129388,Iglesia Cristiana de Avivamiento,place_of_worship,42.3041317,-83.1286211
way,443129419,Grace in Action,place_of_worship,42.3055349,-83.1303705
way,443129433,Free Penetcostal Holiness Church,place_of_worship,42.3065747,-83.1303642
way,443129436,Harbor of Life Church,place_of_worship,42.3069395,-83.1312158
way,443291784,Bennett Elementary School,school,42.3091836,-83.1296074
way,443393173,Dearborn Free Methodist Church,place_of_worship,42.2918117,-83.2705737
way,444080409,Hillcrest Elementary School,school,42.3451966,-83.2769667
way,444121185,Ann Arbor Trail Magnet School,school,42.3477653,-83.2609746
way,444342824,River Oaks Elementary School,school,42.334964,-83.2434418
way,445125552,Pine Grove Baptist Church,place_of_worship,42.2747606,-83.1532405
way,445125553,Iglesia Cristiana La Gran Comisión,place_of_worship,42.2742471,-83.1563657
way,445125568,New Heaven Missionary Baptist Church,place_of_worship,42.272036,-83.1582726
way,445410402,Mark Twain School for Scholars,school,42.2698408,-83.1627654
way,445410408,New Mount Hermon MBC,place_of_worship,42.2620254,-83.157947
way,449410915,Cedar Grove Missionary Baptist Church,place_of_worship,42.4355746,-82.9673796
way,449478648,New Mount Moriah International Church,place_of_worship,42.3382913,-83.1004957
way,449478667,,clinic,42.3349705,-83.1014851
way,454368718,Greater Saint Stephen Missionary Baptist Church,place_of_worship,42.3854173,-82.9619553
way,454368806,Hicks Memorial Church of God in Christ,place_of_worship,42.3842359,-82.9645977
way,454373078,Redeem Church of God in Christ,place_of_worship,42.3862632,-82.9572962
way,454373240,Canfield Church of God,place_of_worship,42.389095,-82.965867
way,455058275,St. Alphonsus Catholic Church,place_of_worship,42.3164216,-83.0364658
way,455291547,Cathedral of Faith,place_of_worship,42.38686,-83.2469621
way,455291559,Samuel Gompers Elementary Middle School,school,42.3920561,-83.2461689
way,455291561,Detroit Northwest Seventh-day Adventist Church,place_of_worship,42.3911645,-83.2472936
way,455291562,Emmanuel PCL Christian Center,place_of_worship,42.3916219,-83.2475913
way,455411062,North Central Windsor Catholic Family of Parishes,place_of_worship,42.3051303,-82.9844007
way,455486976,Healy International Academy (closed),school,42.3821906,-83.2655304
way,455591644,Cody High School,school,42.3604124,-83.2204174
way,455591645,Mann Elementary School,school,42.3685842,-83.2343141
way,455591646,Weatherby Elementary School,school,42.374778,-83.2419108
way,455591648,Dixon Educational Learning Academy,school,42.3544455,-83.2480646
way,455591649,Westside Christian Academy,school,42.3654839,-83.2625137
way,455699108,Cooke S.T.E.M. Academy,school,42.409075,-83.2257045
way,455699109,Pembroke Academy,school,42.4393122,-83.2058051
way,455699111,Jalen Rose Leadership Academy,school,42.4419388,-83.1947595
way,455837685,St. Jerome,place_of_worship,42.3019729,-82.9768491
way,455841981,St. Theresa Church,place_of_worship,42.3094103,-82.967738
way,455843219,Sts. Cyril and Methodius,place_of_worship,42.3124435,-82.9914352
way,456250582,Foreign Language Immersion and Cultural Studies School,school,42.4191288,-83.1908647
way,457109716,Mae C Jemison Academy (closed),school,42.3350894,-83.2332072
way,457109717,Henry Ford Elementary School,school,42.3179627,-83.2025417
way,457109718,Geer Park Elementary,school,42.3147673,-83.1848714
way,457109719,Edsel Ford High School,school,42.2898856,-83.2355569
way,457109722,Dearborn High School,school,42.3079054,-83.2612628
way,457318294,Noble School,school,42.3814167,-83.1553693
way,457347384,Our Lady of Perpetual Help,place_of_worship,42.2831695,-83.0016595
way,459681312,Our Lady of Guadeloupe,place_of_worship,42.3265512,-82.9765415
way,461103863,Inter-City Baptist Church,place_of_worship,42.2681732,-83.1980681
way,465618101,DEPSA Athletic Fields,school,42.3578813,-83.0343316
way,465618107,Abundant Faith Cathedral,place_of_worship,42.3680368,-83.0656137
way,465924609,Burbank Middle School (closed),school,42.4423037,-82.9596371
way,465935969,Beulah Brewer Academy,school,42.4286581,-82.9637995
way,465935970,Charity Lutheran Church,place_of_worship,42.4282193,-82.957159
way,465935971,Denby High School,school,42.4251785,-82.958062
way,465939698,Heavenly Light Missionary Baptist Church,place_of_worship,42.3933058,-83.0230159
way,465939699,St. Joseph Missionary Baptist Church,place_of_worship,42.3925123,-83.0229801
way,465939701,Jude Missionary Baptist Church,place_of_worship,42.3954303,-83.0224688
way,466071087,Brenda Scott Academy,school,42.4296298,-83.0019363
way,466071089,Osborn High School,school,42.4326656,-83.0020851
way,466071090,Turning Point Academy,school,42.4300688,-82.998978
way,466081602,McGregor Elementary School (closed),school,42.4469979,-82.9519006
way,466081645,Pulaski Elementary-Middle School,school,42.4410142,-82.9994345
way,467581115,St. Fancis of Assisi,place_of_worship,42.3053108,-82.997966
way,468552736,Greater Christ Temple,place_of_worship,42.4474245,-83.1220816
way,468566987,Global Heights Academy,school,42.3556919,-83.2711281
way,469543128,St. Albert the Great Catholic Church,place_of_worship,42.2757986,-83.2594781
way,469649151,Holy Trinity Church,place_of_worship,42.3067756,-83.0141842
way,482694720,Dr. Alex West,doctors,42.2701471,-83.2303124
way,485446988,Saint Martha's Church,place_of_worship,42.2932786,-83.2131912
way,485525254,Snow Elementary School,school,42.2874731,-83.2241475
way,485973195,,place_of_worship,42.2686688,-83.1995089
way,485973197,,school,42.26952,-83.199618
way,486249042,The Road Church,place_of_worship,42.2576968,-83.199865
way,488937448,Sandwich First Baptist Church,place_of_worship,42.2918434,-83.0803126
way,490315779,St. Peter Claver Parish,place_of_worship,42.4135514,-83.1772793
way,490315807,West Seven Mile Congregational Church of God in Christ,place_of_worship,42.4308695,-83.1653151
way,490322580,Paul Robeson Academy (former),school,42.4000918,-83.1304596
way,490553511,,school,42.3824649,-83.1125943
way,490553522,Louisiana Homes School,school,42.3859954,-83.1074552
way,490553529,Woods Cathedral Church of God in Christ,place_of_worship,42.3866362,-83.106857
way,491689422,Vandenberg Elementary School,school,42.3594073,-83.2836935
way,491689425,Fisher Elementary School,school,42.3668739,-83.2883818
way,492676175,All Nation Church of God in Christ,place_of_worship,42.42889,-83.2002099
way,493148074,,place_of_worship,42.2817817,-83.1714228
way,494105644,Mt. Pleasant Church,place_of_worship,42.4226411,-82.9260668
way,499194935,,place_of_worship,42.2864869,-83.1748537
way,499430125,,place_of_worship,42.280542,-83.1818988
way,499430126,,place_of_worship,42.2802996,-83.1819555
way,506312353,Windsor Mosque,place_of_worship,42.2774203,-83.0320469
way,511070082,Nichols Elementary-Middle School,school,42.3666946,-82.9981292
way,518461312,Academy of Oak Park,school,42.4501346,-83.1650105
way,520798109,Revival Harvest Church,place_of_worship,42.306759,-82.9749688
way,520798151,Peace Lutheran Church,place_of_worship,42.306605,-82.974304
way,522722862,Michael Berry Career Center,school,42.3403485,-83.260215
way,528560714,St. George's Romanian Orthodox Church,place_of_worship,42.301783,-82.998664
way,528560994,Turner Road Bible Chapel,place_of_worship,42.3019239,-82.9951272
way,529807317,Carver STEM Academy,school,42.3352303,-83.2234626
way,530124137,École élémentaire catholique Saint-Edmond,school,42.2900252,-83.0473999
way,536445786,Rogers Early Elementary School,school,42.2719034,-83.213087
way,538579269,Saint Barbara's Church,place_of_worship,42.3261848,-83.1755914
way,538579297,Corewell Health Care Center,clinic,42.3217322,-83.1752914
way,538881217,Oakleaf Neurology and Sleep,doctors,42.3255268,-83.1693482
way,539113406,Mayflower Missionary Baptist Church,place_of_worship,42.3594097,-83.1007063
way,540107650,Saints Peter and Paul Roman Catholic Church West Side,place_of_worship,42.347316,-83.2298787
way,542763636,Faith Christian Academy,place_of_worship,42.2689068,-83.1763514
way,543404622,Beth Eden Baptist Church,place_of_worship,42.4082979,-83.159629
way,543404629,Palestine Missionary Baptist Church,place_of_worship,42.407698,-83.1602247
way,543404632,Missionary Temple Church of God in Christ,place_of_worship,42.4114209,-83.1603727
way,543404639,Evangelistic House of God,place_of_worship,42.4095885,-83.153805
way,544251353,Hope Presbyterian Church,place_of_worship,42.4028517,-83.169055
way,544251354,Mary McLeod Bethune Academy (closed),school,42.4011292,-83.1687868
way,544251355,St. Peter Claver Catholic Church,place_of_worship,42.4028921,-83.1669018
way,545591634,Corinthian Baptist Church,place_of_worship,42.3963503,-83.0701221
way,546640140,,clinic,42.3669781,-83.0808228
way,546640331,University Preparatory Academy High School,school,42.3626743,-83.0744606
way,548438371,Al-Islah Islamic Center,place_of_worship,42.3997798,-83.0606739
way,550519971,Mt. Carmel Baptist Church,place_of_worship,42.3749577,-83.0648623
way,551110749,,school,42.4378974,-83.1433091
way,552613066,Calvary Hill Primitive Baptist Church,place_of_worship,42.3939716,-83.1001167
way,552683701,St. Philip's Evangelical Lutheran Church,place_of_worship,42.3733084,-83.0660343
way,556883830,Harper Woods High School,school,42.4440032,-82.9345043
way,557676833,,place_of_worship,42.2946742,-82.9540166
way,558662114,Breakers Covenant Church International,place_of_worship,42.3804705,-83.0808257
way,559431746,Historic Little Rock Missionary Baptist Church,place_of_worship,42.3820276,-83.0804849
way,559431748,Detroit International Academy for Young Women / Detroit Northern High School,school,42.3827225,-83.0804342
way,559436274,Alpha & Omega Church,place_of_worship,42.3829339,-83.0749488
way,559571272,Reedeemed Temple C.O.O.L.J.C. of the Apostolic Faith,place_of_worship,42.3893412,-83.0723761
way,559580128,Islamic House of Wisdom,place_of_worship,42.3397668,-83.2617332
way,559837161,Triumph Church,place_of_worship,42.3749809,-83.0618592
way,560381815,Payne-Pulliam School of Trade and Commerce,school,42.3916103,-82.9857918
way,560510050,Breithaupt Career and Technical Center,school,42.3637842,-83.1866983
way,561072035,Let Them Come Missionary Babtist Church,place_of_worship,42.3867076,-83.095255
way,561185093,,school,42.4074154,-83.0747947
way,561347742,The Gathering Church,place_of_worship,42.2794243,-83.0221873
way,561351176,Grand Marais Medical Centre,clinic,42.2692001,-83.0258715
way,562243144,Pierce Middle School,school,42.381672,-82.9360673
way,562243145,Defer Elementary School,school,42.3836044,-82.9375807
way,562243146,Maire Elementary School,school,42.3906264,-82.9187232
way,562245810,East English Village Preparatory Academy,school,42.4087038,-82.9288162
way,562247168,Marquette Elementary-Middle School,school,42.4199062,-82.9235034
way,562255428,Ronald Brown Academy,school,42.4044966,-82.9479099
