GEOID,labor_force,unemployed,unemployment_rate
26163562400,2292,96,4.19
26163562500,1074,29,2.7
26163562600,2070,65,3.14
26163562700,2037,24,1.18
26163562800,2029,43,2.12
26163562900,1527,59,3.86
26163563200,1977,14,0.71
26163563300,1835,89,4.85
26163563400,2381,8,0.34
26163563500,3333,229,6.87
26163563600,1090,68,6.24
26163563700,1139,23,2.02
26163563800,1425,57,4.0
26163563900,1358,77,5.67
26163564000,1096,32,2.92
26163564100,2445,27,1.1
26163564200,1951,40,2.05
26163564300,1307,35,2.68
26163564401,3783,204,5.39
26163564402,4031,76,1.89
26163564501,3529,63,1.79
26163564502,2236,69,3.09
26163564503,1859,74,3.98
26163564504,4347,175,4.03
26163564600,3785,59,1.56
26163564700,2800,82,2.93
26163564800,2331,217,9.31
26163564900,1130,173,15.31
26163565001,2487,44,1.77
26163565100,2022,168,8.31
26163565200,2926,74,2.53
26163565301,1607,79,4.92
26163565302,2398,48,2.0
26163565600,1035,43,4.15
26163565700,2011,107,5.32
26163565800,1632,111,6.8
26163565900,1141,29,2.54
26163566400,522,57,10.92
26163566500,1148,92,8.01
26163566600,793,70,8.83
26163566700,2070,279,13.48
26163566800,1624,89,5.48
26163566900,2461,302,12.27
26163567000,2133,171,8.02
26163567100,1803,134,7.43
26163567201,1813,21,1.16
26163567202,1732,149,8.6
26163567300,2685,240,8.94
26163567400,1471,200,13.6
26163567800,2326,187,8.04
26163567900,1658,76,4.58
26163568000,827,63,7.62
26163568200,1813,120,6.62
26163568300,2272,229,10.08
26163568400,1906,82,4.3
26163568500,1581,75,4.74
26163568700,1746,60,3.44
26163568800,2243,103,4.59
26163568900,1124,52,4.63
26163569100,1504,67,4.45
26163569200,1503,10,0.67
26163569300,1923,171,8.89
26163569400,1422,59,4.15
26163569500,1445,95,6.57
26163569600,1820,159,8.74
26163569700,2117,368,17.38
26163569800,1073,90,8.39
26163569900,1315,106,8.06
26163570100,2551,204,8.0
26163570200,1117,240,21.49
26163570400,2068,341,16.49
26163570500,1661,206,12.4
26163570600,1019,161,15.8
26163570800,1138,185,16.26
26163570900,853,77,9.03
26163571000,844,210,24.88
26163571500,2199,151,6.87
26163571600,455,6,1.32
26163571700,917,132,14.39
26163571800,1189,122,10.26
26163571900,1482,65,4.39
26163572000,1076,31,2.88
26163572100,2736,119,4.35
26163572200,3491,153,4.38
26163572400,792,66,8.33
26163572500,715,58,8.11
26163572600,3044,349,11.47
26163572700,2342,191,8.16
26163572800,2553,281,11.01
26163572900,1041,94,9.03
26163573000,1741,103,5.92
26163573100,2117,283,13.37
26163573300,1321,126,9.54
26163573400,917,73,7.96
26163573501,1808,122,6.75
26163573600,2283,200,8.76
26163573701,788,80,10.15
26163573702,2951,95,3.22
26163573800,2012,93,4.62
26163573900,1772,127,7.17
26163574000,2328,342,14.69
26163574100,1374,63,4.59
26163574203,1561,45,2.88
26163574301,1474,69,4.68
26163574600,2683,82,3.06
26163574700,2707,50,1.85
26163574800,2348,216,9.2
26163574900,969,100,10.32
26163575000,2754,113,4.1
26163575100,1293,103,7.97
26163575200,2486,157,6.32
26163575300,1862,136,7.3
26163575401,1493,84,5.63
26163575500,1975,39,1.97
26163575600,949,19,2.0
26163576001,659,8,1.21
26163576100,3161,103,3.26
26163576200,1415,43,3.04
26163576300,1409,13,0.92
26163576400,1946,124,6.37
26163576500,2236,130,5.81
26163576600,2415,151,6.25
26163576700,1971,152,7.71
26163577000,1953,108,5.53
26163577100,1123,60,5.34
26163577200,1613,97,6.01
26163577300,1409,147,10.43
26163577400,1498,68,4.54
26163577500,1393,157,11.27
26163577600,2119,245,11.56
26163577700,1110,147,13.24
26163577800,2545,287,11.28
26163577900,1588,56,3.53
26163578000,1320,114,8.64
26163578500,2761,142,5.14
26163578600,1856,141,7.6
26163579100,677,35,5.17
26163579200,1477,218,14.76
26163579300,856,90,10.51
26163579501,548,89,16.24
26163579600,1519,23,1.51
26163579700,1049,110,10.49
26163579800,481,73,15.18
26163579900,2920,427,14.62
26163580100,1016,15,1.48
26163580200,1368,33,2.41
26163580300,1443,51,3.53
26163580400,1365,97,7.11
26163580500,1613,47,2.91
26163580600,1561,54,3.46
26163580700,1789,106,5.93
26163580800,636,22,3.46
26163580900,2067,23,1.11
26163581101,2126,58,2.73
26163581200,1483,42,2.83
26163581500,1106,25,2.26
26163581600,2888,163,5.64
26163581800,1359,78,5.74
26163581900,2177,118,5.42
26163582000,1660,16,0.96
26163582100,2095,122,5.82
26163583001,1180,49,4.15
26163583101,1184,174,14.7
26163583200,1475,168,11.39
26163583300,1392,50,3.59
26163583400,2830,216,7.63
26163583500,1191,8,0.67
26163583600,1631,69,4.23
26163583700,2138,260,12.16
26163583800,2172,99,4.56
26163583900,2028,104,5.13
26163584000,1884,75,3.98
26163584100,659,67,10.17
26163584200,1709,125,7.31
26163584300,1202,95,7.9
26163584400,1372,57,4.15
26163584501,1042,64,6.14
26163584600,1102,79,7.17
26163584700,1152,104,9.03
26163584801,1106,153,13.83
26163584802,978,46,4.7
26163585500,883,58,6.57
26163585600,2107,185,8.78
26163585700,1285,90,7.0
26163585800,2648,311,11.74
26163585900,1384,106,7.66
26163586201,3218,57,1.77
26163586300,978,30,3.07
26163587000,2027,197,9.72
26163587900,4555,723,15.87
26163588001,2313,218,9.42
26163588002,1423,0,0.0
26163588101,686,12,1.75
26163588102,722,156,21.61
26163588200,1755,15,0.85
26163588300,3295,232,7.04
26163588400,3188,162,5.08
26163589300,1966,48,2.44
26163589401,1467,12,0.82
26163589402,1676,217,12.95
26163590401,4127,313,7.58
26163590500,2877,34,1.18
26163590600,1096,42,3.83
26163591501,1980,120,6.06
26163591502,1647,68,4.13
26163591600,988,10,1.01
26163591700,3593,201,5.59
26163591800,3583,250,6.98
26163591900,2553,228,8.93
26163592000,2208,98,4.44
26163593001,2959,421,14.23
26163593200,1806,16,0.89
26163593301,1814,39,2.15
26163594000,1100,46,4.18
26163594100,1601,39,2.44
26163594200,1135,0,0.0
26163594300,1538,69,4.49
26163594401,1372,80,5.83
26163594500,1704,43,2.52
26163595000,1691,59,3.49
26163595100,2630,11,0.42
26163595201,1361,61,4.48
26163596100,1683,83,4.93
26163596200,1975,142,7.19
26163596300,1261,0,0.0
26163597000,2206,110,4.99
26163598000,1468,39,2.66
26163599001,2354,198,8.41
26163599100,2985,195,6.53
26163981700,0,0,
26163981800,0,0,
26163981901,0,0,
26163981902,0,0,
26163982000,16,0,0.0
26163982101,0,0,
26163982102,0,0,
26163982200,0,0,
26163982301,0,0,
26163982302,0,0,
26163982400,0,0,
26163982500,0,0,
26163982600,0,0,
26163982700,0,0,
26163982900,0,0,
26163983100,0,0,
26163983200,0,0,
26163983301,0,0,
26163983302,0,0,
26163983400,91,19,20.88
26163983600,0,0,
26163983700,0,0,
26163983800,0,0,
26163983901,0,0,
26163983902,0,0,
26163983903,0,0,
26163984100,0,0,
26163984200,0,0,
26163985000,0,0,
26163985100,85,33,38.82
26163985200,0,0,
26163985300,194,9,4.64
26163985400,0,0,
26163985500,0,0,
26163985600,0,0,
26163985700,0,0,
26163985800,0,0,
26163985900,0,0,
26163986100,0,0,
26163986200,0,0,
26163986300,0,0,
26163986400,12,0,0.0
26163986501,0,0,
26163986502,0,0,
26163986600,0,0,
26163987000,0,0,
26163990100,0,0,
26163990200,0,0,
